;OeffentlichesLaden
513;0.0000941
514;0.000114715
515;0.000125216
516;0.000129026
517;0.000129825
518;0.000132144
519;0.0001278
520;0.000124652
521;0.000116994
522;0.000112722
523;0.000114122
524;0.000115128
525;0.000110599
526;0.000101442
527;0.0000888
528;0.0000823
529;0.0000802
530;0.0000786
531;0.0000776
532;0.0000768
533;0.0000765
534;0.0000764
535;0.0000748
536;0.0000758
537;0.0000785
538;0.0000855
539;0.0000927
540;0.000117511
541;0.000128142
542;0.000131014
543;0.000134758
544;0.000134608
545;0.000130273
546;0.000125571
547;0.000121948
548;0.000114001
549;0.000105056
550;0.000095
551;0.0000879
552;0.0000869
553;0.0000875
554;0.0000872
555;0.0000865
556;0.0000853
557;0.0000826
558;0.0000838
559;0.0000944
560;0.000115331
561;0.000136478
562;0.000150388
563;0.000151981
564;0.000148468
565;0.000147145
566;0.000145415
567;0.000140044
568;0.000134671
569;0.000123652
570;0.00011965
571;0.000124036
572;0.000124303
573;0.000110445
574;0.0000963
575;0.0000904
576;0.000088
577;0.0000871
578;0.0000863
579;0.0000855
580;0.0000856
581;0.0000851
582;0.0000871
583;0.0000939
584;0.000110049
585;0.000132773
586;0.000150096
587;0.000154876
588;0.000150029
589;0.000147
590;0.000140753
591;0.000135936
592;0.000133332
593;0.000129543
594;0.000128285
595;0.000131307
596;0.00011912
597;0.000116983
598;0.000105949
599;0.0000987
600;0.0000972
601;0.0000977
602;0.0000978
603;0.0000964
604;0.0000959
605;0.000095
606;0.0000966
607;0.000106502
608;0.000121303
609;0.000142329
610;0.000157335
611;0.000158872
612;0.000157288
613;0.000147429
614;0.000140931
615;0.000134159
616;0.000126902
617;0.000125047
618;0.000128659
619;0.000137564
620;0.000133148
621;0.0001209
622;0.000108142
623;0.000101298
624;0.000102117
625;0.000101268
626;0.000100327
627;0.000099
628;0.0000984
629;0.0000974
630;0.0000968
631;0.0000985
632;0.000111605
633;0.000130465
634;0.000147473
635;0.000156966
636;0.00015996
637;0.000153285
638;0.000153812
639;0.000150303
640;0.000147321
641;0.000138504
642;0.000128398
643;0.000133723
644;0.000128967
645;0.000116378
646;0.000100777
647;0.0000953
648;0.0000921
649;0.0000915
650;0.0000912
651;0.0000899
652;0.000089
653;0.0000881
654;0.0000929
655;0.00010067
656;0.000119645
657;0.000145704
658;0.000162879
659;0.00016356
660;0.000158202
661;0.000148959
662;0.000139396
663;0.000134551
664;0.000129895
665;0.000125498
666;0.000122699
667;0.000124897
668;0.000122847
669;0.000116814
670;0.000107359
671;0.000097
672;0.0000934
673;0.0000907
674;0.0000894
675;0.0000892
676;0.0000885
677;0.0000872
678;0.0000869
679;0.0000862
680;0.0000887
681;0.0000941
682;0.000114715
683;0.000125216
684;0.000129026
685;0.000129825
686;0.000132144
687;0.0001278
688;0.000124652
689;0.000116994
690;0.000112722
691;0.000114122
692;0.000115128
693;0.000110599
694;0.000101442
695;0.0000888
696;0.0000823
697;0.0000802
698;0.0000786
699;0.0000776
700;0.0000768
701;0.0000765
702;0.0000764
703;0.0000748
704;0.0000758
705;0.0000785
706;0.0000855
707;0.0000927
708;0.000117511
709;0.000128142
710;0.000131014
711;0.000134758
712;0.000134608
713;0.000130273
714;0.000125571
715;0.000121948
716;0.000114001
717;0.000105056
718;0.000095
719;0.0000879
720;0.0000869
721;0.0000875
722;0.0000872
723;0.0000865
724;0.0000853
725;0.0000826
726;0.0000838
727;0.0000944
728;0.000115331
729;0.000136478
730;0.000150388
731;0.000151981
732;0.000148468
733;0.000147145
734;0.000145415
735;0.000140044
736;0.000134671
737;0.000123652
738;0.00011965
739;0.000124036
740;0.000124303
741;0.000110445
742;0.0000963
743;0.0000904
744;0.000088
745;0.0000871
746;0.0000863
747;0.0000855
748;0.0000856
749;0.0000851
750;0.0000871
751;0.0000939
752;0.000110049
753;0.000132773
754;0.000150096
755;0.000154876
756;0.000150029
757;0.000147
758;0.000140753
759;0.000135936
760;0.000133332
761;0.000129543
762;0.000128285
763;0.000131307
764;0.00011912
765;0.000116983
766;0.000105949
767;0.0000987
768;0.0000972
769;0.0000977
770;0.0000978
771;0.0000964
772;0.0000959
773;0.000095
774;0.0000966
775;0.000106502
776;0.000121303
777;0.000142329
778;0.000157335
779;0.000158872
780;0.000157288
781;0.000147429
782;0.000140931
783;0.000134159
784;0.000126902
785;0.000125047
786;0.000128659
787;0.000137564
788;0.000133148
789;0.0001209
790;0.000108142
791;0.000101298
792;0.000102117
793;0.000101268
794;0.000100327
795;0.000099
796;0.0000984
797;0.0000974
798;0.0000968
799;0.0000985
800;0.000111605
801;0.000130465
802;0.000147473
803;0.000156966
804;0.00015996
805;0.000153285
806;0.000153812
807;0.000150303
808;0.000147321
809;0.000138504
810;0.000128398
811;0.000133723
812;0.000128967
813;0.000116378
814;0.000100777
815;0.0000953
816;0.0000921
817;0.0000915
818;0.0000912
819;0.0000899
820;0.000089
821;0.0000881
822;0.0000929
823;0.00010067
824;0.000119645
825;0.000145704
826;0.000162879
827;0.00016356
828;0.000158202
829;0.000148959
830;0.000139396
831;0.000134551
832;0.000129895
833;0.000125498
834;0.000122699
835;0.000124897
836;0.000122847
837;0.000116814
838;0.000107359
839;0.000097
840;0.0000934
841;0.0000907
842;0.0000894
843;0.0000892
844;0.0000885
845;0.0000872
846;0.0000869
847;0.0000862
848;0.0000887
849;0.0000941
850;0.000114715
851;0.000125216
852;0.000129026
853;0.000129825
854;0.000132144
855;0.0001278
856;0.000124652
857;0.000116994
858;0.000112722
859;0.000114122
860;0.000115128
861;0.000110599
862;0.000101442
863;0.0000888
864;0.0000823
865;0.0000802
866;0.0000786
867;0.0000776
868;0.0000768
869;0.0000765
870;0.0000764
871;0.0000748
872;0.0000758
873;0.0000785
874;0.0000855
875;0.0000927
876;0.000117511
877;0.000128142
878;0.000131014
879;0.000134758
880;0.000134608
881;0.000130273
882;0.000125571
883;0.000121948
884;0.000114001
885;0.000105056
886;0.000095
887;0.0000879
888;0.0000869
889;0.0000875
890;0.0000872
891;0.0000865
892;0.0000853
893;0.0000826
894;0.0000838
895;0.0000944
896;0.000115331
897;0.000136478
898;0.000150388
899;0.000151981
900;0.000148468
901;0.000147145
902;0.000145415
903;0.000140044
904;0.000134671
905;0.000123652
906;0.00011965
907;0.000124036
908;0.000124303
909;0.000110445
910;0.0000963
911;0.0000904
912;0.000088
913;0.0000871
914;0.0000863
915;0.0000855
916;0.0000856
917;0.0000851
918;0.0000871
919;0.0000939
920;0.000110049
921;0.000132773
922;0.000150096
923;0.000154876
924;0.000150029
925;0.000147
926;0.000140753
927;0.000135936
928;0.000133332
929;0.000129543
930;0.000128285
931;0.000131307
932;0.00011912
933;0.000116983
934;0.000105949
935;0.0000987
936;0.0000972
937;0.0000977
938;0.0000978
939;0.0000964
940;0.0000959
941;0.000095
942;0.0000966
943;0.000106502
944;0.000121303
945;0.000142329
946;0.000157335
947;0.000158872
948;0.000157288
949;0.000147429
950;0.000140931
951;0.000134159
952;0.000126902
953;0.000125047
954;0.000128659
955;0.000137564
956;0.000133148
957;0.0001209
958;0.000108142
959;0.000101298
960;0.000102117
961;0.000101268
962;0.000100327
963;0.000099
964;0.0000984
965;0.0000974
966;0.0000968
967;0.0000985
968;0.000111605
969;0.000130465
970;0.000147473
971;0.000156966
972;0.00015996
973;0.000153285
974;0.000153812
975;0.000150303
976;0.000147321
977;0.000138504
978;0.000128398
979;0.000133723
980;0.000128967
981;0.000116378
982;0.000100777
983;0.0000953
984;0.0000921
985;0.0000915
986;0.0000912
987;0.0000899
988;0.000089
989;0.0000881
990;0.0000929
991;0.00010067
992;0.000119645
993;0.000145704
994;0.000162879
995;0.00016356
996;0.000158202
997;0.000148959
998;0.000139396
999;0.000134551
1000;0.000129895
1001;0.000125498
1002;0.000122699
1003;0.000124897
1004;0.000122847
1005;0.000116814
1006;0.000107359
1007;0.000097
1008;0.0000934
1009;0.0000907
1010;0.0000894
1011;0.0000892
1012;0.0000885
1013;0.0000872
1014;0.0000869
1015;0.0000862
1016;0.0000887
1017;0.0000941
1018;0.000114715
1019;0.000125216
1020;0.000129026
1021;0.000129825
1022;0.000132144
1023;0.0001278
1024;0.000124652
1025;0.000116994
1026;0.000112722
1027;0.000114122
1028;0.000115128
1029;0.000110599
1030;0.000101442
1031;0.0000888
1032;0.0000823
1033;0.0000802
1034;0.0000786
1035;0.0000776
1036;0.0000768
1037;0.0000765
1038;0.0000764
1039;0.0000748
1040;0.0000758
1041;0.0000785
1042;0.0000855
1043;0.0000927
1044;0.000117511
1045;0.000128142
1046;0.000131014
1047;0.000134758
1048;0.000134608
1049;0.000130273
1050;0.000125571
1051;0.000121948
1052;0.000114001
1053;0.000105056
1054;0.000095
1055;0.0000879
1056;0.0000869
1057;0.0000875
1058;0.0000872
1059;0.0000865
1060;0.0000853
1061;0.0000826
1062;0.0000838
1063;0.0000944
1064;0.000115331
1065;0.000136478
1066;0.000150388
1067;0.000151981
1068;0.000148468
1069;0.000147145
1070;0.000145415
1071;0.000140044
1072;0.000134671
1073;0.000123652
1074;0.00011965
1075;0.000124036
1076;0.000124303
1077;0.000110445
1078;0.0000963
1079;0.0000904
1080;0.000088
1081;0.0000871
1082;0.0000863
1083;0.0000855
1084;0.0000856
1085;0.0000851
1086;0.0000871
1087;0.0000939
1088;0.000110049
1089;0.000132773
1090;0.000150096
1091;0.000154876
1092;0.000150029
1093;0.000147
1094;0.000140753
1095;0.000135936
1096;0.000133332
1097;0.000129543
1098;0.000128285
1099;0.000131307
1100;0.00011912
1101;0.000116983
1102;0.000105949
1103;0.0000987
1104;0.0000972
1105;0.0000977
1106;0.0000978
1107;0.0000964
1108;0.0000959
1109;0.000095
1110;0.0000966
1111;0.000106502
1112;0.000121303
1113;0.000142329
1114;0.000157335
1115;0.000158872
1116;0.000157288
1117;0.000147429
1118;0.000140931
1119;0.000134159
1120;0.000126902
1121;0.000125047
1122;0.000128659
1123;0.000137564
1124;0.000133148
1125;0.0001209
1126;0.000108142
1127;0.000101298
1128;0.000102117
1129;0.000101268
1130;0.000100327
1131;0.000099
1132;0.0000984
1133;0.0000974
1134;0.0000968
1135;0.0000985
1136;0.000111605
1137;0.000130465
1138;0.000147473
1139;0.000156966
1140;0.00015996
1141;0.000153285
1142;0.000153812
1143;0.000150303
1144;0.000147321
1145;0.000138504
1146;0.000128398
1147;0.000133723
1148;0.000128967
1149;0.000116378
1150;0.000100777
1151;0.0000953
1152;0.0000921
1153;0.0000915
1154;0.0000912
1155;0.0000899
1156;0.000089
1157;0.0000881
1158;0.0000929
1159;0.00010067
1160;0.000119645
1161;0.000145704
1162;0.000162879
1163;0.00016356
1164;0.000158202
1165;0.000148959
1166;0.000139396
1167;0.000134551
1168;0.000129895
1169;0.000125498
1170;0.000122699
1171;0.000124897
1172;0.000122847
1173;0.000116814
1174;0.000107359
1175;0.000097
1176;0.0000934
1177;0.0000907
1178;0.0000894
1179;0.0000892
1180;0.0000885
1181;0.0000872
1182;0.0000869
1183;0.0000862
1184;0.0000887
1185;0.0000941
1186;0.000114715
1187;0.000125216
1188;0.000129026
1189;0.000129825
1190;0.000132144
1191;0.0001278
1192;0.000124652
1193;0.000116994
1194;0.000112722
1195;0.000114122
1196;0.000115128
1197;0.000110599
1198;0.000101442
1199;0.0000888
1200;0.0000823
1201;0.0000802
1202;0.0000786
1203;0.0000776
1204;0.0000768
1205;0.0000765
1206;0.0000764
1207;0.0000748
1208;0.0000758
1209;0.0000785
1210;0.0000855
1211;0.0000927
1212;0.000117511
1213;0.000128142
1214;0.000131014
1215;0.000134758
1216;0.000134608
1217;0.000130273
1218;0.000125571
1219;0.000121948
1220;0.000114001
1221;0.000105056
1222;0.000095
1223;0.0000879
1224;0.0000869
1225;0.0000875
1226;0.0000872
1227;0.0000865
1228;0.0000853
1229;0.0000826
1230;0.0000838
1231;0.0000944
1232;0.000115331
1233;0.000136478
1234;0.000150388
1235;0.000151981
1236;0.000148468
1237;0.000147145
1238;0.000145415
1239;0.000140044
1240;0.000134671
1241;0.000123652
1242;0.00011965
1243;0.000124036
1244;0.000124303
1245;0.000110445
1246;0.0000963
1247;0.0000904
1248;0.000088
1249;0.0000871
1250;0.0000863
1251;0.0000855
1252;0.0000856
1253;0.0000851
1254;0.0000871
1255;0.0000939
1256;0.000110049
1257;0.000132773
1258;0.000150096
1259;0.000154876
1260;0.000150029
1261;0.000147
1262;0.000140753
1263;0.000135936
1264;0.000133332
1265;0.000129543
1266;0.000128285
1267;0.000131307
1268;0.00011912
1269;0.000116983
1270;0.000105949
1271;0.0000987
1272;0.0000972
1273;0.0000977
1274;0.0000978
1275;0.0000964
1276;0.0000959
1277;0.000095
1278;0.0000966
1279;0.000106502
1280;0.000121303
1281;0.000142329
1282;0.000157335
1283;0.000158872
1284;0.000157288
1285;0.000147429
1286;0.000140931
1287;0.000134159
1288;0.000126902
1289;0.000125047
1290;0.000128659
1291;0.000137564
1292;0.000133148
1293;0.0001209
1294;0.000108142
1295;0.000101298
1296;0.000102117
1297;0.000101268
1298;0.000100327
1299;0.000099
1300;0.0000984
1301;0.0000974
1302;0.0000968
1303;0.0000985
1304;0.000111605
1305;0.000130465
1306;0.000147473
1307;0.000156966
1308;0.00015996
1309;0.000153285
1310;0.000153812
1311;0.000150303
1312;0.000147321
1313;0.000138504
1314;0.000128398
1315;0.000133723
1316;0.000128967
1317;0.000116378
1318;0.000100777
1319;0.0000953
1320;0.0000921
1321;0.0000915
1322;0.0000912
1323;0.0000899
1324;0.000089
1325;0.0000881
1326;0.0000929
1327;0.00010067
1328;0.000119645
1329;0.000145704
1330;0.000162879
1331;0.00016356
1332;0.000158202
1333;0.000148959
1334;0.000139396
1335;0.000134551
1336;0.000129895
1337;0.000125498
1338;0.000122699
1339;0.000124897
1340;0.000122847
1341;0.000116814
1342;0.000107359
1343;0.000097
1344;0.0000934
1345;0.0000907
1346;0.0000894
1347;0.0000892
1348;0.0000885
1349;0.0000872
1350;0.0000869
1351;0.0000862
1352;0.0000887
1353;0.0000941
1354;0.000114715
1355;0.000125216
1356;0.000129026
1357;0.000129825
1358;0.000132144
1359;0.0001278
1360;0.000124652
1361;0.000116994
1362;0.000112722
1363;0.000114122
1364;0.000115128
1365;0.000110599
1366;0.000101442
1367;0.0000888
1368;0.0000823
1369;0.0000802
1370;0.0000786
1371;0.0000776
1372;0.0000768
1373;0.0000765
1374;0.0000764
1375;0.0000748
1376;0.0000758
1377;0.0000785
1378;0.0000855
1379;0.0000927
1380;0.000117511
1381;0.000128142
1382;0.000131014
1383;0.000134758
1384;0.000134608
1385;0.000130273
1386;0.000125571
1387;0.000121948
1388;0.000114001
1389;0.000105056
1390;0.000095
1391;0.0000879
1392;0.0000869
1393;0.0000875
1394;0.0000872
1395;0.0000865
1396;0.0000853
1397;0.0000826
1398;0.0000838
1399;0.0000944
1400;0.000115331
1401;0.000136478
1402;0.000150388
1403;0.000151981
1404;0.000148468
1405;0.000147145
1406;0.000145415
1407;0.000140044
1408;0.000134671
1409;0.000123652
1410;0.00011965
1411;0.000124036
1412;0.000124303
1413;0.000110445
1414;0.0000963
1415;0.0000904
1416;0.000088
1417;0.0000871
1418;0.0000863
1419;0.0000855
1420;0.0000856
1421;0.0000851
1422;0.0000871
1423;0.0000939
1424;0.000110049
1425;0.000132773
1426;0.000150096
1427;0.000154876
1428;0.000150029
1429;0.000147
1430;0.000140753
1431;0.000135936
1432;0.000133332
1433;0.000129543
1434;0.000128285
1435;0.000131307
1436;0.00011912
1437;0.000116983
1438;0.000105949
1439;0.0000987
1440;0.0000972
1441;0.0000977
1442;0.0000978
1443;0.0000964
1444;0.0000959
1445;0.000095
1446;0.0000966
1447;0.000106502
1448;0.000121303
1449;0.000142329
1450;0.000157335
1451;0.000158872
1452;0.000157288
1453;0.000147429
1454;0.000140931
1455;0.000134159
1456;0.000126902
1457;0.000125047
1458;0.000128659
1459;0.000137564
1460;0.000133148
1461;0.0001209
1462;0.000108142
1463;0.000101298
1464;0.000102117
1465;0.000101268
1466;0.000100327
1467;0.000099
1468;0.0000984
1469;0.0000974
1470;0.0000968
1471;0.0000985
1472;0.000111605
1473;0.000130465
1474;0.000147473
1475;0.000156966
1476;0.00015996
1477;0.000153285
1478;0.000153812
1479;0.000150303
1480;0.000147321
1481;0.000138504
1482;0.000128398
1483;0.000133723
1484;0.000128967
1485;0.000116378
1486;0.000100777
1487;0.0000953
1488;0.0000921
1489;0.0000915
1490;0.0000912
1491;0.0000899
1492;0.000089
1493;0.0000881
1494;0.0000929
1495;0.00010067
1496;0.000119645
1497;0.000145704
1498;0.000162879
1499;0.00016356
1500;0.000158202
1501;0.000148959
1502;0.000139396
1503;0.000134551
1504;0.000129895
1505;0.000125498
1506;0.000122699
1507;0.000124897
1508;0.000122847
1509;0.000116814
1510;0.000107359
1511;0.000097
1512;0.0000934
1513;0.0000907
1514;0.0000894
1515;0.0000892
1516;0.0000885
1517;0.0000872
1518;0.0000869
1519;0.0000862
1520;0.0000887
1521;0.0000941
1522;0.000114715
1523;0.000125216
1524;0.000129026
1525;0.000129825
1526;0.000132144
1527;0.0001278
1528;0.000124652
1529;0.000116994
1530;0.000112722
1531;0.000114122
1532;0.000115128
1533;0.000110599
1534;0.000101442
1535;0.0000888
1536;0.0000823
1537;0.0000802
1538;0.0000786
1539;0.0000776
1540;0.0000768
1541;0.0000765
1542;0.0000764
1543;0.0000748
1544;0.0000758
1545;0.0000785
1546;0.0000855
1547;0.0000927
1548;0.000117511
1549;0.000128142
1550;0.000131014
1551;0.000134758
1552;0.000134608
1553;0.000130273
1554;0.000125571
1555;0.000121948
1556;0.000114001
1557;0.000105056
1558;0.000095
1559;0.0000879
1560;0.0000869
1561;0.0000875
1562;0.0000872
1563;0.0000865
1564;0.0000853
1565;0.0000826
1566;0.0000838
1567;0.0000944
1568;0.000115331
1569;0.000136478
1570;0.000150388
1571;0.000151981
1572;0.000148468
1573;0.000147145
1574;0.000145415
1575;0.000140044
1576;0.000134671
1577;0.000123652
1578;0.00011965
1579;0.000124036
1580;0.000124303
1581;0.000110445
1582;0.0000963
1583;0.0000904
1584;0.000088
1585;0.0000871
1586;0.0000863
1587;0.0000855
1588;0.0000856
1589;0.0000851
1590;0.0000871
1591;0.0000939
1592;0.000110049
1593;0.000132773
1594;0.000150096
1595;0.000154876
1596;0.000150029
1597;0.000147
1598;0.000140753
1599;0.000135936
1600;0.000133332
1601;0.000129543
1602;0.000128285
1603;0.000131307
1604;0.00011912
1605;0.000116983
1606;0.000105949
1607;0.0000987
1608;0.0000972
1609;0.0000977
1610;0.0000978
1611;0.0000964
1612;0.0000959
1613;0.000095
1614;0.0000966
1615;0.000106502
1616;0.000121303
1617;0.000142329
1618;0.000157335
1619;0.000158872
1620;0.000157288
1621;0.000147429
1622;0.000140931
1623;0.000134159
1624;0.000126902
1625;0.000125047
1626;0.000128659
1627;0.000137564
1628;0.000133148
1629;0.0001209
1630;0.000108142
1631;0.000101298
1632;0.000102117
1633;0.000101268
1634;0.000100327
1635;0.000099
1636;0.0000984
1637;0.0000974
1638;0.0000968
1639;0.0000985
1640;0.000111605
1641;0.000130465
1642;0.000147473
1643;0.000156966
1644;0.00015996
1645;0.000153285
1646;0.000153812
1647;0.000150303
1648;0.000147321
1649;0.000138504
1650;0.000128398
1651;0.000133723
1652;0.000128967
1653;0.000116378
1654;0.000100777
1655;0.0000953
1656;0.0000921
1657;0.0000915
1658;0.0000912
1659;0.0000899
1660;0.000089
1661;0.0000881
1662;0.0000929
1663;0.00010067
1664;0.000119645
1665;0.000145704
1666;0.000162879
1667;0.00016356
1668;0.000158202
1669;0.000148959
1670;0.000139396
